gene_symbol,TCGA-BH-A1FC,TCGA-AC-A2FM,TCGA-BH-A0DO,TCGA-E2-A1BC,TCGA-BH-A0BJ,TCGA-E2-A1LH,TCGA-BH-A1FB,TCGA-BH-A18M,TCGA-BH-A0BM,TCGA-E2-A153,TCGA-B6-A0RH,TCGA-BH-A1FU,TCGA-AR-A0TX,TCGA-A1-A0SE,TCGA-OL-A5D6,TCGA-E2-A1IK,TCGA-AN-A0FT,TCGA-A2-A3KD,TCGA-A2-A0EO,TCGA-A2-A04P
RPS2,967.5062,2303.7998,2228.8759,1281.1095,1924.1638,1522.6251,1233.5546,1062.7051,2008.7116,1118.1768,2577.4781,1633.822,1108.9991,2253.9287,1635.2344,1380.8956,1192.7681,1084.2007,1520.8851,1801.6759
RPL10A,1567.3193,3303.0839,2976.4232,1721.0794,3113.0849,2611.3302,2235.2783,1668.8657,3124.9962,1582.174,1639.6422,2082.8751,980.1568,2191.7297,1069.292,1640.7567,547.1224,1226.3091,1694.9315,423.6647
CD74,1763.3088,1164.2351,825.6262,440.1631,1118.1494,1299.607,893.6113,1161.2901,1067.2068,1040.4171,907.2437,900.5809,2714.3952,716.7269,924.4098,1365.9947,898.2971,683.6064,1247.0831,928.3151
TFF1,47.103,166.9588,25.1672,0.3014,75.4499,19.3649,15.5994,142.1531,25.5103,134.5208,75.8166,18.6294,26.7585,3670.526,8.2263,1631.4776,9190.7876,22114.9859,1700.39,0
IFITM3,2350.1914,1802.9219,729.665,601.6325,825.4966,620.0238,993.9759,1450.0069,771.6489,814.0712,9213.8455,1175.1229,515.2299,1379.5233,672.9395,874.6792,856.2034,1094.2524,1912.0196,1445.0422
RPLP1,1284.7492,2539.0449,1816.8012,954.5113,1677.5276,1750.5757,1215.5843,1033.8531,1965.9546,987.5334,1977.4032,1597.9982,604.3199,1811.3765,1561.897,2444.491,567.759,1220.5269,938.5707,823.4207
RPLP2,1496.0629,2982.767,1800.8309,4196.2484,1700.5382,1606.9087,1175.7565,1055.0153,2201.303,954.662,1943.7964,1362.5016,604.6624,1685.6011,901.4276,1390.6977,1000.7332,1084.7079,1505.5199,1125.673
RPLP0,1080.7897,2009.4279,2291.4866,1060.3608,2237.105,1576.7929,1307.3057,986.3613,1647.7846,1125.5041,1711.9866,1130.352,515.3163,1437.3742,1610.6874,1402.7586,472.6142,1313.3862,1571.2971,459.0727
CD24,423.2921,636.5603,605.3896,5.2445,1170.8522,1002.8057,867.2865,327.5718,646.7868,680.2964,1173.1334,1874.2667,1304.0014,605.7063,1369.0367,46.3242,729.6194,448.9118,470.4303,416.2476
SLC39A6,301.2489,256.9863,555.634,38.8723,346.2876,590.2336,416.1332,433.0756,336.0553,394.1261,99.3095,196.345,337.2565,1782.4057,113.5993,2771.0897,247.9264,5611.7715,994.8089,10.2383
RPL19,861.977,1785.6766,1415.1903,1097.0465,1541.3286,1311.8621,1010.5013,865.1279,1354.9623,832.4112,5239.2905,1246.3397,2806.2419,1215.2598,675.1412,1009.5651,897.8956,793.4478,1066.4058,713.9899
IGFBP4,1766.7263,2255.9908,942.732,493.9386,1657.8022,728.6478,947.8544,1767.3532,844.9325,1398.157,1395.7265,1152.4259,678.0831,2821.6192,664.4009,2573.6137,1343.2602,1446.6526,2522.832,255.1174
RPS8,1337.5344,2567.7575,2221.424,1414.1752,2162.9534,1753.5823,1500.0071,1187.9976,2337.4782,1117.5028,1420.9375,1555.567,787.9827,1636.453,1110.5618,1357.9552,623.1247,968.4032,1240.1943,1031.7403
TAGLN2,928.2688,1397.4917,515.2225,246.1213,733.6531,609.6445,747.1994,687.7415,668.9469,693.3999,1652.4917,1261.1196,875.9997,1298.8988,1057.0096,627.7398,764.351,677.1345,1303.7098,649.9453
HSPB1,492.8981,1155.555,189.2858,358.966,214.9481,229.4501,267.9327,553.9381,602.5857,462.5401,470.429,370.4372,130.1533,1227.6639,1635.8136,448.2678,1871.8548,487.5744,890.7446,813.0975
RPS21,896.9829,2052.2114,1657.1144,1029.6041,1057.2191,1381.3231,1087.7037,760.3817,1747.1489,691.9007,1548.3268,1093.6156,2373.2961,1015.1965,762.1395,924.9868,1020.2107,641.3488,1287.0057,854.626
HLA-DRB1,1518.6379,1132.295,303.048,410.6422,595.6458,928.1081,488.9499,980.4509,574.8894,866.654,251.2291,822.0957,1810.3487,620.9194,610.3038,1051.6829,830.0492,342.8195,843.0992,618.8752
HSP90AA1,687.9607,640.1535,962.103,277.2187,1376.9996,942.9593,1057.3307,843.3348,999.8279,843.361,844.1773,1196.1122,1195.7801,1494.2302,577.0299,769.0101,710.4529,1065.8303,699.7866,518.4988
LGALS1,1349.1235,1958.222,543.4693,2341.5981,773.4687,602.7246,709.812,1232.7491,1004.8383,729.8469,1547.531,1043.5513,594.2029,1371.2824,807.6959,1036.4094,950.8501,368.5888,1372.4479,451.1893
BGN,223.2932,179.3718,90.0288,51.7508,188.5854,105.177,145.5244,443.8142,97.7211,166.4852,1426.5401,2080.2382,827.9481,1320.4927,1804.2669,263.5535,1495.6879,595.3101,1688.918,1195.3585
HLA-A,1007.2463,591.6129,589.1984,315.3054,658.5896,737.8549,544.5349,818.2235,664.9797,653.073,2772.4894,486.5647,1603.5379,406.2246,433.1621,3002.6378,461.9814,366.4562,845.64,956.4303
FDCSP,241.9662,596.8162,387.8434,0,31.1231,598.0589,148.6218,80.1105,281.2949,1375.4219,1.0615,49.4417,6.2706,5.6547,8.4245,52.0057,0.0754,20.6045,16.8217,37053.0701
CPB1,10.8653,22.0519,128.2829,13.2734,31.0897,15.662,0.9465,7.7616,3.2263,2.2058,0.1034,0.0831,1.055,2.8086,0.6255,9164.7594,1.4591,8.2588,0.1742,0.0342
RPL7,868.4145,1461.4872,1755.4115,1487.575,1603.5353,1363.9137,1155.3897,897.4515,1666.0024,816.8423,1348.7897,1751.3954,595.7103,1395.0656,575.7758,843.2976,364.5806,1069.4642,1067.6768,303.0275
FN1,137.6963,25.315,43.3772,36.3816,225.1178,18.7415,37.2513,473.3955,12.4318,267.4566,1270.3455,2532.9914,1124.4517,1147.9682,1022.9112,85.6691,362.5497,285.464,1426.4437,195.5583
